invoice_id_a,invoice_number_a,vendor_a,amount_a,date_a,invoice_id_b,invoice_number_b,vendor_b,amount_b,date_b,duplicate_probability,verdict
1101,INV-72277,Acme Supplies Ltd,463.61,2024-02-07,1147,INV-72277,Acme Supplies Ltd.,464.61,2024-02-12,1.0,DUPLICATE
1146,INV-15229,Acme Supplies Ltd.,2808.91,2024-07-06,1077,INV-15229,Acme Supplies Ltd,2808.91,2024-07-02,1.0,DUPLICATE
1055,INV-17492,Acme Supplies Ltd,6744.38,2024-01-26,1127,INV-17492,Acme Supplies Ltd,6744.38,2024-01-26,1.0,DUPLICATE
1049,INV-80855,Bright Star Logistics,502.77,2024-01-08,1133,INV-80855,bright star logistics,502.76,2024-01-10,1.0,DUPLICATE
1142,INV-53309,Bright Star Logistics,8153.5,2024-02-10,1040,INV-53309,Bright Star Logistics,8153.51,2024-02-06,1.0,DUPLICATE
1122,INV-44335,Crestview Consulting,5752.16,2024-03-23,1073,INV-44335,Crestview Consulting,5752.16,2024-03-23,1.0,DUPLICATE
1020,INV-42325,Crestview Consulting,2420.68,2024-10-14,1138,INV-42325,Crestview Co.nsulting,2420.68,2024-10-18,1.0,DUPLICATE
1109,INV-46347,Delta Office Solutions,7566.77,2024-09-23,1149,INV-46347,Delta Office Solutions ,7566.77,2024-09-23,1.0,DUPLICATE
1004,INV-13478,Delta Office Solutions,4572.93,2024-10-14,1124,INV-13478,Delta Office Solutions,4572.93,2024-10-14,1.0,DUPLICATE
1126,INV-96511,Delta Office Solutions,2045.17,2024-04-08,1083,INV-96511,Delta Office Solutions,2045.17,2024-04-08,1.0,DUPLICATE
1125,INV-16006,Delta Office Solutions,6355.92,2024-04-26,1011,INV-16006,Delta Office Solutions,6355.92,2024-04-26,1.0,DUPLICATE
1032,INV-84364,Delta Office Solutions,568.43,2024-02-10,1137,INV-84364,Delta Office Solutions,568.43,2024-02-14,1.0,DUPLICATE
1130,INV-28373,Delta Office Solutions,4849.76,2024-08-04,1047,INV-28373,Delta Office Solutions,4849.76,2024-08-04,1.0,DUPLICATE
1132,INV-95717,Everest Freight Co,5524.52,2024-09-27,1067,INV-95717,Everest Freight Co,5524.52,2024-09-27,1.0,DUPLICATE
1048,INV-19880,Everest Freight Co,4190.52,2024-08-14,1148,INV-19880,Everest Freight Co,4190.51,2024-08-14,1.0,DUPLICATE
1143,INV-88193,Everest Freight Co ,392.41,2024-08-10,1087,INV-88193,Everest Freight Co,392.4,2024-08-10,1.0,DUPLICATE
1014,INV-44993,Falcon Hardware,1925.09,2024-02-06,1145,INV-44993,Falcon Hardwar,1925.09,2024-02-11,1.0,DUPLICATE
1076,INV-29410,Falcon Hardware,5263.46,2024-08-08,1144,INV-29410,Falcon Hardwar,5263.46,2024-08-09,1.0,DUPLICATE
1076,INV-29410,Falcon Hardware,5263.46,2024-08-08,1121,INV-29410,Falcon Hardware,5263.46,2024-08-08,1.0,DUPLICATE
1022,INV-28131,Falcon Hardware,2012.92,2024-09-17,1140,INV-28131,Fa lcon Hardware,2012.92,2024-09-22,1.0,DUPLICATE
1018,INV-18675,Falcon Hardware,3640.42,2024-04-18,1128,INV-18675,Falcon Hardware,3640.42,2024-04-18,1.0,DUPLICATE
1129,INV-62994,Falcon Hardware,6036.42,2024-03-25,1119,INV-62994,Falcon Hardware,6036.42,2024-03-25,1.0,DUPLICATE
1141,INV-26334,Falcon Hardware,5987.32,2024-06-03,1092,INV-26334,Falcon Hardware,5987.32,2024-06-02,1.0,DUPLICATE
1144,INV-29410,Falcon Hardwar,5263.46,2024-08-09,1121,INV-29410,Falcon Hardware,5263.46,2024-08-08,1.0,DUPLICATE
1131,INV-57819,Horizon IT Services,5739.38,2024-03-24,1013,INV-57819,Horizon IT Services,5739.38,2024-03-24,1.0,DUPLICATE
1056,INV-79615,Horizon IT Services,4550.51,2024-03-21,1150,INV-79615,horizon it services,4550.51,2024-03-24,1.0,DUPLICATE
1098,INV-32241,Horizon IT Services,7153.93,2024-02-13,1134,INV-32241,Horizon IT Services ,7154.93,2024-02-15,1.0,DUPLICATE
1123,INV-80282,Ivory Paper Mills,3627.12,2024-06-18,1085,INV-80282,Ivory Paper Mills,3627.12,2024-06-18,1.0,DUPLICATE
1136,INV-30032,Ivory Paper Mill,5500.28,2024-07-10,1029,INV-30032,Ivory Paper Mills,5500.28,2024-07-10,1.0,DUPLICATE
1028,INV-76542,Ivory Paper Mills,6869.56,2024-02-24,1139,INV-76542,Ivory Paper Mills ,6869.56,2024-02-26,1.0,DUPLICATE
1107,INV-76162,Jupiter Cleaning Co,7344.31,2024-08-06,1135,INV-76162,Jupiter Cleaning Co,7344.31,2024-08-08,1.0,DUPLICATE
1062,INV-98039,Everest Freight Co,3592.28,2024-06-02,1036,INV-98039,Everest Freight Co,3620.98,2024-07-10,0.56,NEEDS_REVIEW
